party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
R,502,5,,http://www.rubio.senate.gov/public/?a=rss.feed,www.rubio.senate.gov/public/,89.28,1.78911E+14,kg:/m/0dpr5f,R000595,FL,SenatorMarcoRubio,157,http://www.rubio.senate.gov,31.27,https://api.propublica.org/congress/v1/members/R000595.json,2084,,Marco,Rubio,Marco Rubio,,2016,0,SenRubioPress
R,502,1,,,,91.72,,kg:/m/020z2p,R000605,SD,,7,http://www.rounds.senate.gov,1.39,https://api.propublica.org/congress/v1/members/R000605.json,2288,,Mike,Rounds,Mike Rounds,,2020,0,SenatorRounds
I,502,9,,http://www.sanders.senate.gov/rss/feeds/?press,www.sanders.senate.gov,89.14,9124187907,kg:/m/01_gbv,S000033,VT,senatorsanders,143,http://www.sanders.senate.gov,28.49,https://api.propublica.org/congress/v1/members/S000033.json,1010,,Bernard,Sanders,Bernard Sanders,,2018,0,SenSanders
D,502,17,,,www.schumer.senate.gov,95.4,15771239406,kg:/m/01w74d,S000148,NY,chuckschumer,2,https://www.schumer.senate.gov,0.4,https://api.propublica.org/congress/v1/members/S000148.json,1036,E.,Charles,Schumer,Charles Schumer,,2016,0,SenSchumer
R,502,29,,,,87.76,50850514797,kg:/m/020yj1,S000320,AL,RichardShelby,20,http://www.shelby.senate.gov,3.98,https://api.propublica.org/congress/v1/members/S000320.json,1049,C.,Richard,Shelby,Richard Shelby,,2016,0,SenShelby
D,502,15,,,www.stabenow.senate.gov,94.33,,kg:/m/01xh64,S000770,MI,,8,http://www.stabenow.senate.gov,1.59,https://api.propublica.org/congress/v1/members/S000770.json,1531,,Debbie,Stabenow,Debbie Stabenow,,2018,0,SenStabenow
R,502,19,,,sessions.senate.gov,88.32,23444159584,kg:/m/020yjg,S001141,AL,jeffsessions,14,http://www.sessions.senate.gov,2.79,https://api.propublica.org/congress/v1/members/S001141.json,1548,,Jeff,Sessions,Jeff Sessions,,2020,0,SenatorSessions
D,502,7,,,,93.78,1.27504E+14,kg:/m/01rrm2,S001181,NH,SenatorShaheen,4,http://www.shaheen.senate.gov,0.8,https://api.propublica.org/congress/v1/members/S001181.json,1901,,Jeanne,Shaheen,Jeanne Shaheen,,2020,0,SenatorShaheen
R,502,3,,https://www.scott.senate.gov/rss.xml,scott.senate.gov,89.41,1.63208E+14,kg:/m/0c407g6,S001184,SC,SenatorTimScott,11,https://www.scott.senate.gov,2.19,https://api.propublica.org/congress/v1/members/S001184.json,2056,,Tim,Scott,Tim Scott,,2016,0,SenatorTimScott
D,502,3,,http://www.schatz.senate.gov/rss/feeds/?press,,95.59,,kg:/m/0dd109,S001194,HI,SenBrianSchatz,3,http://www.schatz.senate.gov,0.6,https://api.propublica.org/congress/v1/members/S001194.json,2173,,Brian,Schatz,Brian Schatz,,2016,0,SenBrianSchatz
R,502,1,,http://www.sasse.senate.gov/public/?a=rss.feed,www.sasse.senate.gov,83.7,,kg:/m/0j5wk_6,S001197,NE,,5,http://www.sasse.senate.gov,1,https://api.propublica.org/congress/v1/members/S001197.json,2289,,Ben,Sasse,Ben Sasse,,2020,0,SenSasse
R,502,1,,,,91.15,1.49914E+15,kg:/m/07s4r4q,S001198,AK,SenDanSullivan,16,http://www.sullivan.senate.gov,3.19,https://api.propublica.org/congress/v1/members/S001198.json,2290,,Dan,Sullivan,Dan Sullivan,,2020,0,SenDanSullivan
R,502,11,,http://www.thune.senate.gov/public/?a=RSS.Feed,,92.97,,kg:/m/03ybyn,T000250,SD,,4,http://www.thune.senate.gov,0.8,https://api.propublica.org/congress/v1/members/T000250.json,1534,,John,Thune,John Thune,,2016,0,SenJohnThune
R,502,5,,http://www.toomey.senate.gov/rss/,,90.26,1.89274E+14,kg:/m/02_kk7,T000461,PA,senatortoomey,40,http://www.toomey.senate.gov,7.97,https://api.propublica.org/congress/v1/members/T000461.json,2085,J.,Patrick,Toomey,Patrick Toomey,,2016,0,SenToomey
D,502,9,,http://www.tester.senate.gov/rss/,www.tester.senate.gov,89.22,2.10573E+11,kg:/m/066cdp,T000464,MT,senatortester,1,http://www.tester.senate.gov,0.2,https://api.propublica.org/congress/v1/members/T000464.json,1829,,Jon,Tester,Jon Tester,,2018,0,SenatorTester
